name	intensity-avg	volume
Left-Lateral-Ventricle	17.7354	8273.9
Left-Inf-Lat-Vent	47.2321	126.3
Left-Cerebellum-White-Matter	83.8943	14825.4
Left-Cerebellum-Cortex	53.0779	55950.3
Left-Thalamus	83.1861	7306.9
Left-Caudate	68.6463	3503.2
Left-Putamen	77.2362	5019.2
Left-Pallidum	96.9838	1623.1
3rd-Ventricle	33.5861	644.3
4th-Ventricle	18.8782	1388.5
Brain-Stem	83.2537	19461.0
Left-Hippocampus	58.792	3790.3
Left-Amygdala	58.9016	1275.3
CSF	33.0679	967.2
Left-Accumbens-area	63.406	794.9
Left-VentralDC	90.3801	3416.7
Left-vessel	59.2692	41.9
Left-choroid-plexus	45.6193	230.2
Right-Lateral-Ventricle	22.8933	4742.8
Right-Inf-Lat-Vent	31.3266	343.0
Right-Cerebellum-White-Matter	82.2517	14368.6
Right-Cerebellum-Cortex	50.871	55258.2
Right-Thalamus	81.8695	7058.8
Right-Caudate	67.8936	3643.0
Right-Putamen	75.6711	5245.8
Right-Pallidum	94.3427	1684.8
Right-Hippocampus	56.1556	4127.0
Right-Amygdala	57.983	1422.0
Right-Accumbens-area	63.9016	709.4
Right-VentralDC	89.4581	3503.1
Right-vessel	51.8462	23.6
Right-choroid-plexus	49.9967	508.6
5th-Ventricle	0.0	0.0
WM-hypointensities	69.8153	954.9
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	68.0638	98.1
CC_Posterior	102.5103	1012.1
CC_Mid_Posterior	87.6438	563.5
CC_Central	96.3947	483.3
CC_Mid_Anterior	101.1281	495.9
CC_Anterior	103.0083	982.7
